year,month,day,latitude,longitude
2014,04,20,19.4106,-155.28
2014,04,20,19.4025,-155.281
2014,04,20,19.8278,96.6267
2014,04,20,19.8252,96.6157
2014,04,20,19.823,96.6064
2014,04,20,20.6578,100.203
2014,04,20,22.6539,110.784
2014,04,20,20.8811,100.543
2014,04,20,20.8799,100.537
2014,04,20,20.8927,100.548
2014,04,20,20.8914,100.541
2014,04,20,20.987,100.928
2014,04,20,20.9507,100.707
2014,04,20,20.9481,100.695
2014,04,20,20.962,100.712
2014,04,20,20.9607,100.706
2014,04,20,20.9595,100.7
2014,04,20,21.4005,102.771
2014,04,20,20.1029,96.5261
2014,04,20,21.6729,103.839
2014,04,20,20.103,96.5299
2014,04,20,20.7666,99.3001
2014,04,20,21.5349,102.716
2014,04,20,21.5436,102.714
2014,04,20,20.9614,99.2485
2014,04,20,20.9567,98.9656
2014,04,20,23.3109,111.201
2014,04,20,21.2733,98.9761
2014,04,20,21.5129,99.9783
2014,04,20,21.5117,99.9727
2014,04,20,23.4918,110.949
2014,04,20,21.3307,98.951
2014,04,20,21.4829,99.434
2014,04,20,21.4814,99.4267
2014,04,20,21.6115,99.8776
2014,04,20,21.4125,98.955
2014,04,20,21.4111,98.9483
2014,04,20,21.6025,99.637
2014,04,20,21.3745,98.6112
2014,04,20,21.6128,99.6339
2014,04,20,21.6116,99.628
2014,04,20,23.458,109.674
2014,04,20,22.0415,101.618
2014,04,20,22.4079,103.088
2014,04,20,21.6168,99.3075
2014,04,20,22.4138,102.984
2014,04,20,21.6346,99.2352
2014,04,20,21.6453,99.2323
2014,04,20,21.1753,97.1069
2014,04,20,22.3488,102.198
2014,04,20,22.3659,101.912
2014,04,20,22.3641,101.903
2014,04,20,22.0831,100.47
2014,04,20,22.0796,100.475
2014,04,20,22.0769,100.462
2014,04,20,22.5178,102.405
2014,04,20,22.0206,99.9561
2014,04,20,21.8634,99.131
2014,04,20,21.8619,99.1242
2014,04,20,22.2005,100.609
2014,04,20,22.1602,100.415
2014,04,20,22.4429,101.75
2014,04,20,22.6048,102.527
2014,04,20,22.6029,102.517
2014,04,20,22.6042,102.519
2014,04,20,22.4535,101.595
2014,04,20,21.8755,98.7469
2014,04,20,21.886,98.7421
2014,04,20,21.8846,98.7358
2014,04,20,22.6985,102.08
2014,04,20,22.3503,100.382
2014,04,20,23.105,104.024
2014,04,20,23.3689,105.351
2014,04,20,22.0883,98.6727
2014,04,20,22.5084,100.421
2014,04,20,22.5058,100.428
2014,04,20,22.2087,98.9284
2014,04,20,22.2074,98.9227
2014,04,20,22.2061,98.917
2014,04,20,22.2048,98.9108
2014,04,20,22.2033,98.9042
2014,04,20,22.2338,98.8878
2014,04,20,22.8426,101.505
2014,04,20,22.8409,101.497
2014,04,20,22.7867,101.05
2014,04,20,24.3553,109.848
2014,04,20,23.7773,106.106
2014,04,20,22.9131,101.476
2014,04,20,23.5602,104.65
2014,04,20,23.5594,104.642
2014,04,20,22.4454,99.012
2014,04,20,22.4439,99.0054
2014,04,20,22.4425,98.9991
2014,04,20,22.4578,99.0168
2014,04,20,22.4564,99.0108
2014,04,20,22.4549,99.0041
2014,04,20,22.4535,98.9977
2014,04,20,22.5206,98.7613
2014,04,20,22.5919,98.9795
2014,04,20,24.0259,106.032
2014,04,20,24.0498,106.045
2014,04,20,23.5529,103.283
2014,04,20,23.5514,103.275
2014,04,20,23.5595,103.273
2014,04,20,23.8633,104.734
2014,04,20,22.8318,99.4262
2014,04,20,22.8312,99.425
2014,04,20,22.8199,99.3251
2014,04,20,22.8304,99.3229
2014,04,20,23.7215,103.465
2014,04,20,23.7387,103.469
2014,04,20,24.0457,104.877
2014,04,20,22.5165,97.0996
2014,04,20,24.1772,105.148
2014,04,20,23.9525,103.792
2014,04,20,22.5232,97.0975
2014,04,20,23.8776,103.315
2014,04,20,23.0286,99.2331
2014,04,20,23.8054,102.678
2014,04,20,24.2786,105.043
2014,04,20,24.0612,103.531
2014,04,20,23.987,103.098
2014,04,20,22.7131,97.0637
2014,04,20,23.0982,98.6508
2014,04,20,23.0965,98.6429
2014,04,20,25.6324,113.273
2014,04,20,23.9584,102.48
2014,04,20,23.9568,102.472
2014,04,20,22.7328,96.6324
2014,04,20,22.7396,96.6365
2014,04,20,23.1315,98.0363
2014,04,20,23.2066,98.212
2014,04,20,23.1974,98.1193
2014,04,20,23.2002,98.1182
2014,04,20,24.7857,105.318
2014,04,20,23.3338,98.2219
2014,04,20,24.2617,102.446
2014,04,20,23.3922,98.2739
2014,04,20,23.3902,98.265
2014,04,20,23.6137,98.9212
2014,04,20,23.5311,98.5571
2014,04,20,23.2409,97.2584
2014,04,20,24.9352,105.425
2014,04,20,22.9342,95.9346
2014,04,20,23.9041,99.782
2014,04,20,23.0425,95.8758
2014,04,20,23.5247,97.6414
2014,04,20,23.5253,97.6411
2014,04,20,23.7616,98.5109
2014,04,20,23.9677,99.0882
2014,04,20,23.9664,99.0822
2014,04,20,23.968,99.0868
2014,04,20,23.6056,97.4661
2014,04,20,23.8497,98.2149
2014,04,20,25.3837,105.923
2014,04,20,23.9514,98.5668
2014,04,20,25.4141,105.925
2014,04,20,23.6599,97.2366
2014,04,20,24.0381,98.8166
2014,04,20,25.384,105.503
2014,04,20,23.7626,97.5684
2014,04,20,24.0548,98.4575
2014,04,20,24.0068,98.2483
2014,04,20,23.8642,97.5856
2014,04,20,24.0818,98.4768
2014,04,20,24.0801,98.469
2014,04,20,25.2422,103.08
2014,04,20,24.0093,97.2235
2014,04,20,23.1944,93.9531
2014,04,20,23.7454,95.8039
2014,04,20,23.7427,95.7927
2014,04,20,23.7479,95.8059
2014,04,20,23.7451,95.7947
2014,04,20,25.5666,103.924
2014,04,20,24.765,99.4357
2014,04,20,24.5866,98.2473
2014,04,20,25.1431,100.271
2014,04,20,26.2287,105.903
2014,04,20,24.2686,96.3783
2014,04,20,26.2354,105.859
2014,04,20,26.2718,105.852
2014,04,20,25.1438,98.921
2014,04,20,25.1423,98.9143
2014,04,20,25.8526,100.704
2014,04,20,24.8786,96.3477
2014,04,20,24.8764,96.3388
2014,04,20,26.43,102.846
2014,04,20,26.438,102.844
